1,TITAN V CEO Edition,16988
2,GeForce RTX 2080 Ti,16694
3,TITAN RTX,16432
4,GeForce RTX 2080 SUPER,15881
5,GeForce RTX 2080,15502
6,TITAN Xp COLLECTORS EDITION,15122
7,GeForce RTX 2070 SUPER,14843
8,Quadro RTX 5000 with Max-Q Design,14700
9,Quadro RTX 6000,14567
10,TITAN V,14530
11,NVIDIA TITAN Xp,14236
12,GeForce GTX 1080 Ti,14221
13,Radeon VII,14152
14,GeForce RTX 2070,14052
15,Radeon RX 5700 XT 50th Anniversary,14032
16,Radeon RX 5700 XT,13804
17,GeForce RTX 2060 SUPER,13770
18,NVIDIA TITAN X,13651
19,GeForce RTX 2080 (Mobile),13530
20,Quadro RTX 4000,13305
21,Quadro P6000,13285
22,Quadro RTX 5000,12878
23,GeForce RTX 2060,12843
24,Quadro GP100,12743
25,Quadro GV100,12727
26,Quadro RTX 5000 (Mobile),12499
27,GeForce RTX 2080 with Max-Q Design,12475
28,GeForce GTX 1080,12457
29,Radeon RX 5700,12327
30,GeForce GTX 1070 Ti,12313
31,Radeon RX Vega 64,12183
32,Radeon RX Vega 56,12039
33,Radeon Pro Vega 56,11916
34,Radeon Pro Vega 48,11796
35,GeForce GTX 1660 Ti,11523
36,Radeon Pro Vega 64,11456
37,GeForce GTX 980 Ti,11428
38,Radeon PRO WX 8200,11404
39,GeForce GTX 1070,11378
40,GeForce GTX 1660 SUPER,11372
41,GeForce RTX 2070 (Mobile),11354
42,Quadro RTX 4000 with Max-Q Design,11268
43,GeForce RTX 2070 with Max-Q Design,11245
44,Radeon Vega Frontier Edition,11179
45,Quadro RTX 8000,10980
46,GeForce GTX 1660,10816
47,Radeon Pro WX 9100,10734
48,GeForce GTX TITAN X,10691
49,GeForce RTX 2060 (Mobile),10598
50,Radeon Pro SSG,10498
51,Quadro P4000,10425
52,Quadro P4200,10373
53,Quadro P4200 with Max-Q Design,10295
54,GeForce GTX 1080 with Max-Q Design,10248
55,Quadro RTX 3000,10080
56,Quadro M6000 24GB,10068
57,Quadro P5000,10026
58,Quadro P5200 with Max-Q Design,9796
59,GeForce GTX 1660 Ti (Mobile),9689
60,GeForce GTX 980,9682
61,Quadro P2200,9625
62,GeForce GTX 1070 (Mobile),9539
63,GeForce GTX 1070 with Max-Q Design,9483
64,Radeon RX 590,9477
65,Radeon Pro Duo,9434
66,Quadro M6000,9431
67,Quadro P5200,9367
68,Radeon R9 Fury,9193
69,GeForce GTX 1060,9097
70,Quadro P4000 with Max-Q Design,9083
71,GeForce GTX 1060 3GB,8991
72,GeForce GTX 780 Ti,8891
73,GeForce GTX TITAN Black,8657
74,GeForce GTX 970,8653
75,Radeon RX 580 2048SP,8653
76,Quadro P3200 with Max-Q Design,8643
77,Radeon RX 580,8564
78,GeForce GTX 1660 Ti with Max-Q Design,8557
79,Quadro M5000,8514
80,Radeon R9 390X,8502
81,Radeon R9 Fury + Fury X,8488
82,Radeon RX 480,8148
83,Radeon R9 390,8108
84,Quadro P3200,8101
85,GeForce GTX 1650 SUPER,8051
86,GeForce GTX 780,7956
87,GeForce GTX 1650,7948
88,GeForce GTX Titan,7937
89,Quadro M5500,7915
90,GeForce GTX 1060 with Max-Q Design,7873
91,Radeon Pro WX 7100,7858
92,Radeon R9 295X2,7776
93,Radeon RX 470,7769
94,Radeon Pro 580,7753
95,GeForce GTX 1060 (Mobile),7691
96,GeForce GTX TITAN Z,7647
97,Quadro T2000,7622
98,FirePro W8100 Graphic Adapter,7570
99,Quadro K6000,7476
100,Radeon R9 290X / 390X,7453
101,Tesla P100-PCIE-16GB,7225
102,Quadro P2000,7219
103,Tesla M60,7192
104,FirePro W9100,7189
105,Radeon R9 290 / 390,7152
106,Radeon RX Vega M GH,7057
107,GeForce GTX 1650 (Mobile),6996
108,Radeon RX 570,6897
109,Quadro T1000,6892
110,Quadro M4000,6667
111,GeForce GTX 1060 5GB,6427
112,Radeon Pro Vega 20,6370
113,Radeon Pro 570,6337
114,Radeon R9 380X,6240
115,Radeon RX 5500,6202
116,Radeon Pro 5500M,6186
117,Radeon R9 380,6162
118,Quadro K5200,6100
119,FirePro W8100,6086
120,GeForce GTX 770,6064
121,GeForce GTX 1050 Ti,6061
122,GeForce GTX 1050 Ti (Mobile),5994
123,GeForce GTX 980M,5971
124,Quadro P3000,5930
125,GRID M60-2Q,5904
126,Radeon R9 280X,5855
127,GeForce GTX 960,5830
128,GeForce GTX 1050 Ti with Max-Q Design,5796
129,Radeon R9 M395X,5782
130,Quadro M5000M,5770
131,GeForce GTX 1650 with Max-Q Design,5711
132,GeForce GTX 680,5667
133,Radeon Pro WX 5100,5661
134,Radeon HD 7990,5563
135,FirePro W7100 Adapter,5554
136,Radeon R9 285 / 380,5550
137,GRID M60-8A,5523
138,FirePro W7100,5407
139,GeForce GTX 690,5394
140,Radeon R9 280,5382
141,Quadro P2000 with Max-Q Design,5376
142,GeForce GTX 670,5362
143,GeForce GTX 760 Ti OEM,5344
144,FirePro W9000,5305
145,Radeon HD 7970 / R9 280X,5248
146,GeForce GTX 950,5247
147,FirePro S10000,5235
148,Radeon RX Vega M GL,5232
149,RadeonT RX 5500M,5156
150,Radeon R9 M295X,5150
151,GeForce GTX 760 Ti,5119
152,FirePro S9000,5059
153,Radeon R9 M395,5022
154,GeForce GTX 580,5018
155,Radeon HD 8990,5000
156,GeForce GTX 760,4938
157,Quadro M4000M,4896
158,Radeon Sky 500,4889
159,GeForce GTX 1050,4773
160,Radeon HD 7950 / R9 280,4765
161,FirePro W8000 Adapter,4752
162,P106-100,4732
163,Radeon R9 370,4722
164,Radeon R9 270X,4697
165,GRID M60-1Q,4680
166,FirePro W8000,4672
167,GeForce GTX 660 Ti,4656
168,Radeon R7 370,4644
169,FirePro W7170M,4579
170,Quadro M3000M,4509
171,GeForce GTX 1050 (Mobile),4497
172,Quadro K4200,4476
173,Radeon HD 7870 XT,4470
174,GRID P6-4Q,4429
175,GeForce GTX 570,4418
176,Quadro P1000,4408
177,GRID K520,4384
178,Radeon HD 7870,4384
179,GRID P40-24Q,4375
180,GeForce GTX 480,4360
181,Radeon R9 M390X,4357
182,FirePro W7000,4353
183,Radeon RX 460,4332
184,Barco MXRT 7500,4319
185,Radeon RX 560,4306
186,Quadro M2000,4275
187,GeForce GTX 680MX,4275
188,Radeon R9 270 / R7 370,4260
189,GeForce GTX 970M,4253
190,GeForce GTX 775M,4222
191,GeForce GTX 590,4221
192,FirePro S7000,4166
193,GeForce GTX 660,4130
194,FirePro W7000 Adapter,4106
195,Radeon R9 M290X,4092
196,Radeon Pro WX 4100,4058
197,GeForce GTX 780M,4038
198,Quadro K5000,4016
199,GRID P6-2Q,4001
200,Radeon Pro WX4100,3953
201,GeForce GTX 1050 with Max-Q Design,3903
202,GRID M60-8Q,3884
203,Radeon HD 8970M,3876
204,Radeon HD 7850,3848
205,Quadro P620,3807
206,Radeon HD 7970M,3804
207,GRID K2,3773
208,GeForce GTX 750 Ti,3772
209,Quadro M2200,3744
210,GeForce GTX 880M,3730
211,GeForce GTX 470,3602
212,Quadro K2200,3601
213,Radeon R9 M470X,3563
214,GeForce GTX 650 Ti BOOST,3540
215,Quadro 6000,3532
216,GeForce GTX 560 Ti,3529
217,Radeon HD 6970,3525
218,Tesla C2050,3515
219,FirePro M6100 FireGL V,3487
220,Radeon Pro 560,3475
221,Radeon RX 560X,3455
222,Radeon Pro 460,3453
223,Radeon RX 550,3428
224,Tesla C2050 / C2070,3428
225,Radeon HD8970M,3369
226,Tesla C2075,3364
227,GeForce GTX 680M,3347
228,GeForce GTX 750,3329
229,Radeon Pro WX 3100,3324
230,Radeon R7 360,3316
231,Tesla C2070,3275
232,GeForce GTX 965M,3257
233,Radeon HD 6950,3220
234,Quadro P600,3205
235,GRID M60-4Q,3189
236,Radeon R7 260X,3180
237,FirePro V7000 Adapter,3162
238,Radeon Pro 555,3141
239,Quadro K5100M,3130
240,GeForce GTX 560,3118
241,Radeon Pro 455,3113
242,Radeon Pro WX 4150,3103
243,Radeon R9 M380,3101
244,FirePro W5000,3093
245,Radeon HD 7790,3083
246,Quadro M1200,3083
247,Quadro K1200,3050
248,Radeon R9 360,3032
249,FirePro W5100,3028
250,Radeon R9 260,3018
251,Radeon HD 8950,3010
252,Radeon Pro WX 4130,2984
253,Quadro M2000M,2965
254,FirePro M6100,2963
255,GeForce GTX 465,2947
256,GRID K260Q,2941
257,Radeon HD 6990,2933
258,FirePro W4300,2909
259,Radeon R7 260,2892
260,Quadro K4000,2879
261,Quadro 5000,2856
262,FirePro 3D V9800,2812
263,Quadro M620,2810
264,FirePro V7900,2749
265,FirePro V9800 Adapter,2727
266,Radeon Pro 450,2723
267,Quadro K2200M,2717
268,GeForce GTX 770M,2666
269,GeForce GTX 650 Ti,2660
270,Quadro K4100M,2657
271,GeForce GTX 460,2654
272,Radeon HD 5870,2622
273,Radeon HD 6870,2616
274,Quadro K5000M,2611
275,Radeon HD 5970,2603
276,GeForce MX250,2599
277,GeForce GTX 460 v2,2495
278,GeForce GTX 870M,2477
279,GeForce GTX 675MX,2460
280,FirePro 3D V8800,2438
281,Radeon R9 M470,2435
282,Quadro M1000M,2421
283,GRID M10-2B,2417
284,GeForce GTX 960A,2411
285,GeForce GTX 485M,2401
286,GeForce GTX 960M,2397
287,GRID K280Q,2359
288,Radeon RX 540,2340
289,Quadro K620,2337
290,GeForce GT 1030,2296
291,Radeon HD 6850,2295
292,Radeon HD 5850,2281
293,GeForce GTX 580M,2279
294,Radeon RX Vega 11,2272
295,Radeon HD 6970M,2270
296,Radeon R7 250X,2269
297,GeForce GTX 460 SE,2260
298,GeForce GT 645,2251
299,Quadro K4000M,2243
300,GeForce MX150,2236
301,Radeon R9 350,2236
302,Radeon Pro WX 2100,2227
303,Radeon HD 7770,2224
304,Radeon R7 450,2205
