1,G Skill Intl F4-4500C19-8GTZKKE 8GB,23286 MB/s
2,G Skill Intl F4-4400C19-8GTZSW 8GB,23143 MB/s
3,G Skill Intl F4-4600C18-8GTZR 8GB,22652 MB/s
4,G Skill Intl F4-4000C19-16GTZKK 16GB,22588 MB/s
5,G Skill Intl F4-3600C16-8GTZN 8GB,22548 MB/s
6,Kingston KHX4266C19D4/8GX 8GB,22495 MB/s
7,Corsair CMW16GX4M2K3600C16 8GB,22347 MB/s
8,Team Group Inc. TEAMGROUP-UD4-4133 8GB,22245 MB/s
9,Corsair CMK16GX4M2F4500C19 8GB,22163 MB/s
10,G Skill Intl F4-4266C19-8GTZSW 8GB,22059 MB/s
11,A-DATA Technology DDR4 3300 2OZ 4GB,21951 MB/s
12,G Skill Intl F4-4000C18-8GTRS 8GB,21837 MB/s
13,G Skill Intl F4-4400C18-8GTZR 8GB,21802 MB/s
14,Corsair CMK32GX4M4K4266C19 8GB,21793 MB/s
15,G Skill Intl F4-3600C17-8GTZSW 8GB,21638 MB/s
16,Team Group Inc. TEAMGROUP-D4-3866 4GB,21594 MB/s
17,Corsair CMW32GX4M4C3200C14 8GB,21577 MB/s
18,G Skill Intl F4-3200C14-8GTRS 8GB,21517 MB/s
19,Corsair CMT16GX4M2K3600C16 8GB,21413 MB/s
20,Patriot Memory (PDP Systems) 3866 C18 Series 8GB,21400 MB/s
21,Corsair CMR16GX4M2K4266C19 8GB,21394 MB/s
22,G Skill Intl F4-3733C17-16GTZSW 16GB,21344 MB/s
23,G Skill Intl F4-3733C17-8GTZSW 8GB,21316 MB/s
24,Crucial Technology BLE8G4D36BEEAK.M8FE1 8GB,21305 MB/s
25,Corsair CMD32GX4M2C3200C14M 16GB,21294 MB/s
26,G Skill Intl F4-3600C15-8GTZ 8GB,21255 MB/s
27,G Skill Intl F4-3200C14-16GTZKO 16GB,21251 MB/s
28,Corsair CMD8GX4M2B3866C18 4GB,21217 MB/s
29,G Skill Intl F4-4600C19-8GTZKKC 8GB,21160 MB/s
30,G Skill Intl F4-3200C14-8GTZKO 8GB,20971 MB/s
31,G Skill Intl F4-3600C16-8GTZ 8GB,20927 MB/s
32,Corsair CMK16GX4M2K4266C19 8GB,20927 MB/s
33,Corsair CMD16GX4M2B3600C18 8GB,20920 MB/s
34,G Skill Intl F4-3200C16-16GRS 16GB,20879 MB/s
35,G Skill Intl F4-3200C14-8GTRG 8GB,20875 MB/s
36,G Skill Intl F4-3866C18-8GTZSW 8GB,20852 MB/s
37,Corsair CMD16GX4M2B3466C16 8GB,20830 MB/s
38,G Skill Intl F4-4000C17-8GTRS 8GB,20806 MB/s
39,G Skill Intl F4-4000C17-8GTZR 8GB,20775 MB/s
40,G Skill Intl F4-3200C16-16GTZKY 16GB,20746 MB/s
41,Corsair CMK16GX4M2C3333C16 8GB,20736 MB/s
42,Corsair CMK32GX4M2B3333C16 16GB,20705 MB/s
43,G Skill Intl F4-3466C16-16GTZR 16GB,20701 MB/s
44,G Skill Intl F4-3600C16-8GTZKW 8GB,20689 MB/s
